Neg,Pos,Stop,Foudingci
诽谤,,,
用尽,,,
垄断,,,
公司资产清理人,,,
违法者,,,
不需要,,,
软弱地,,,
分心,,,
对立,,,
弄错,,,
不顺利,,,
引入歧途,,,
禁止讨论,,,
旷课,,,
使重新占有,,,
悲痛,,,
恐吓,,,
未经筹划,,,
受伤处,,,
使从属,,,
根切,,,
诉讼当事人,,,
栅栏,,,
损毁物,,,
爆炸性,,,
减低,,,
操纵,,,
衰变,,,
错误地处理,,,
不适宜,,,
名声败坏,,,
残疾,,,
不按计划,,,
过度生产,,,
不忠地,,,
让人产生错误观念,,,
变态地,,,
不活动,,,
重赋值,,,
缩写式,,,
不舒服,,,
多管闲事,,,
投偏,,,
纯朴地,,,
有问题,,,
关上,,,
未结算,,,
咬住,,,
滥用地,,,
彻底地,,,
不知不觉,,,
击败,,,
不再付款,,,
更坏地,,,
无光泽,,,
回敬,,,
存留,,,
落入袋中,,,
混乱,,,
不喜欢,,,
选矿废渣,,,
错放,,,
己放弃,,,
已损坏表面,,,
污浊,,,
慢待,,,
被拘留,,,
行为不良人,,,
犯了罪地,,,
使丧失,,,
贬低,,,
最近,,,
使复杂化,,,
调和,,,
使过时,,,
疏远,,,
淡漠,,,
合理化,,,
顺从,,,
死,,,
留住,,,
不正确,,,
使震惊,,,
不可避免,,,
命令,,,
倒填日期,,,
往外舀水,,,
变态,,,
批评性地,,,
骗子,,,
礼品大篮子,,,
中伤,,,
互不相容人或事物,,,
刻意阻碍,,,
挖掘地基,,,
污染,,,
纠正,,,
解雇,,,
吊,,,
相互矛盾,,,
不赞成,,,
学习初次尝试,,,
反击,,,
凶兆,,,
逐渐削弱,,,
病人,,,
未听到,,,
没有事实根据,,,
减少,,,
勉强,,,
负,,,
脱离,,,
有伤风化,,,
伪誓,,,
断言者,,,
宣布放弃,,,
较弱,,,
威压,,,
被打断,,,
发牢骚,,,
满期,,,
不光彩,,,
毛病,,,
不按时,,,
过度生产,,,
已被判刑,,,
分散注意力,,,
起诉书,,,
延缓,,,
不美丽,,,
卡住,,,
非正规,,,
警示讯号,,,
拒绝者,,,
割断,,,
险恶,,,
定局,,,
追溯,,,
与离婚,,,
突然,,,
告诫,,,
蔑视,,,
驱使,,,
隐蔽,,,
撤销诉讼,,,
吃光,,,
算错,,,
想念,,,
延缓发作,,,
难闻气味,,,
谨慎,,,
使不满,,,
使窘迫,,,
清算,,,
辞职书,,,
腐化,,,
有分歧,,,
腐烂,,,
过度,,,
效率低,,,
攻击,,,
露体,,,
歪曲,,,
好争吵,,,
无感觉,,,
清理债务,,,
原告,,,
废弃物,,,
开口,,,
阴谋者,,,
控告,,,
滥用,,,
停顿,,,
折算,,,
穷苦,,,
违反者,,,
激烈,,,
冲突,,,
停工,,,
不光彩地,,,
使气馁,,,
电路超负荷,,,
有瑕疵,,,
有害,,,
未解决,,,
探究,,,
偷,,,
最不利,,,
勋绩,,,
网路犯罪,,,
辞去职务,,,
卖不掉,,,
盘问,,,
令人迷惑不解地,,,
宣判有罪,,,
后退,,,
香槟酒酿制过程中一道程序,,,
祭品,,,
点燃,,,
掉下,,,
使发生,,,
妨碍,,,
制止,,,
相反,,,
暴跌,,,
被误解,,,
超载,,,
已偿付,,,
使悬浮,,,
诋毁,,,
脱卸义务和责任,,,
没人住,,,
压低,,,
洗烫,,,
冷漠,,,
无效用,,,
出乎意料,,,
违背,,,
嘲笑,,,
非卖品,,,
挥发性,,,
违法行为,,,
众所公认,,,
便秘,,,
不准许,,,
未充分使用,,,
清偿,,,
沮丧,,,
争执,,,
干掉,,,
非难,,,
受伤害,,,
悬浮,,,
重罪,,,
误区,,,
不道德行为,,,
占领,,,
损坏外表,,,
终接,,,
令人遗憾,,,
拒绝给予,,,
难相处,,,
主张;宣称;陈词,,,
市势疲弱,,,
重组,,,
可能来临,,,
伪造品,,,
战斗,,,
恶劣地,,,
猥亵言语,,,
情节倒叙,,,
异议声明,,,
停靠站,,,
静负荷,,,
主词,,,
出现机能障碍,,,
异议,,,
在法庭相争,,,
效率低,,,
慢化,,,
充分意识到,,,
过老,,,
倚,,,
令人不满事物,,,
不能恢复地,,,
有理化,,,
可厌之事,,,
负荷,,,
不生产,,,
做坏事,,,
应变,,,
发生矛盾,,,
不果断,,,
侮辱,,,
悬挂,,,
单调,,,
落后,,,
阴性,,,
手动（manipulateing形式,,,
不适用,,,
虚弱地,,,
加重,,,
掩饰,,,
卖剩,,,
陈腐人,,,
损失,,,
粗心大意,,,
暴力,,,
混淆,,,
疲惫地去某处,,,
录制,,,
欺诈手段,,,
清仓抛售货物,,,
极为震惊,,,
必然,,,
保密,,,
防止,,,
详细审查,,,
行踪不明,,,
恐慌,,,
损伤外观,,,
根除,,,
难达到,,,
势在必行,,,
无秩序,,,
滑动,,,
定罪,,,
误释,,,
受损害,,,
弃权让步,,,
互联网上到处散布垃圾广告消息现象,,,
未确定,,,
打碎,,,
未缴纳,,,
不注意,,,
倒闭,,,
引错路,,,
苟延残喘,,,
大胆猜测,,,
困窘,,,
不定地,,,
不安,,,
使困惑,,,
未检测到,,,
误导,,,
破旧,,,
编造,,,
不悦,,,
年轻女子,,,
重讲,,,
大话,,,
反常现象,,,
傻姑娘,,,
可疑,,,
损害,,,
瞬断,,,
玩忽职守,,,
令人恼怒,,,
痛苦,,,
即将发生,,,
重新叙述,,,
羞怯,,,
迷惑,,,
不整齐地,,,
惹起,,,
下狱,,,
患病,,,
论据,,,
不切实际,,,
多余,,,
消去,,,
居先,,,
疑问,,,
警戒期,,,
迫使,,,
请求权,,,
昏倒,,,
不顾一切,,,
质询,,,
阻碍,,,
预先阻止,,,
容忍,,,
佯投,,,
停职,,,
牺牲,,,
献祭,,,
错误,,,
不适于出售,,,
废除,,,
早产,,,
变紧,,,
离开,,,
调解,,,
可责,,,
因不流动而变得污浊,,,
不充分陈述,,,
压抑,,,
有嫌疑,,,
可恶地,,,
伤害,,,
查抄,,,
警告,,,
困惑,,,
使分心,,,
赔偿,,,
凌驾,,,
软弱,,,
不为人喜,,,
坚持地,,,
沉闷地,,,
不礼貌,,,
附属,,,
疑心,,,
紧张,,,
使遭受,,,
警惕,,,
负责事,,,
腐坏,,,
竭力推,,,
受苦,,,
非法,,,
猛烈,,,
变坏,,,
估价过高,,,
恼怒,,,
使不适当地在一起,,,
倒转,,,
安抚,,,
使沉滞,,,
未经报道,,,
惹恼,,,
倾斜,,,
生产不足,,,
信用等级下降,,,
丧失抵押品赎回权,,,
短时熄火,,,
敌对,,,
非故意地,,,
威胁,,,
骚扰行为,,,
把某人降级或贬职,,,
最差,,,
使作废,,,
虚构,,,
伸展,,,
虚假,,,
赃物,,,
独占者,,,
拒绝理由,,,
遭拒绝,,,
惩罚性,,,
扣押,,,
不受欢迎求婚者,,,
变得激烈,,,
动乱,,,
站不住脚,,,
受挫,,,
不注意,,,
扰乱,,,
行动迟缓,,,
缓期,,,
动荡,,,
命令,,,
不顾后果,,,
放任,,,
滑移,,,
不适合,,,
重新评估,,,
不正确运转,,,
忏悔,,,
分散注意力,,,
发出预告,,,
使变小,,,
可憎,,,
口吃,,,
让渡,,,
使抱偏见,,,
滤过,,,
变得有缺陷,,,
裂口,,,
无掩蔽,,,
推迟,,,
故意,,,
不公平,,,
无意识,,,
预防,,,
令人担心,,,
责任,,,
使终止,,,
主旋律,,,
偏离,,,
使困苦,,,
吐出,,,
串通,,,
欺骗地,,,
检举,,,
判刑,,,
被逐出,,,
作虚伪叙述,,,
共谋,,,
无意地,,,
可被控告,,,
休息,,,
易受影响,,,
不可获得,,,
后方,,,
挑拨,,,
使倒塌,,,
损毁,,,
误导,,,
使...局促不安,,,
默认值,,,
错误消息,,,
敲诈,,,
受到挑战,,,
并发,,,
废止,,,
阴谋,,,
恐慌,,,
蓓蕾,,,
揭开盖子,,,
有病地,,,
使紧张,,,
旱灾灾情,,,
远眺,,,
攻击敌方阵地,,,
贫乏地,,,
诽谤性,,,
没有执照,,,
献祭,,,
严肃,,,
不成比例,,,
背信弃义,,,
断绝关系,,,
徒劳无功,,,
重物,,,
供认,,,
发生故障,,,
致命地,,,
无销路,,,
严厉地,,,
倾覆,,,
粗暴地对待,,,
低调,,,
占先一步,,,
疏忽地,,,
持批评态度,,,
严重,,,
非故意,,,
停下来,,,
无业游民,,,
托辞,,,
危险期,,,
裁减人数,,,
不可避免地,,,
离婚,,,
离婚判决,,,
卑鄙,,,
打乱,,,
笨重,,,
使感到灰心,,,
不经意地,,,
自重,,,
相持不下,,,
危及,,,
极限,,,
使转换为磁航向,,,
流产,,,
急性加重,,,
没有自信,,,
挫败,,,
周折,,,
桥牌,,,
脱离常规,,,
更恶化,,,
欺诈,,,
否定,,,
跛,,,
破坏生态平衡,,,
空洞,,,
矛盾,,,
恶作剧,,,
无效审判,,,
未送交,,,
不足信,,,
讨厌人,,,
行为不检,,,
不安,,,
高压,,,
不服从,,,
错误,,,
下等,,,
缺席,,,
弄翻,,,
不连续,,,
未经证实,,,
急迫,,,
胁迫,,,
拖着行走,,,
会引起反对,,,
周转,,,
执行纠察任务,,,
预置,,,
煽动,,,
无忧无虑,,,
动武,,,
未见到,,,
使不合格,,,
不诚实地,,,
操纵,,,
逗留,,,
扣留,,,
功能障碍,,,
轻率,,,
脾气坏,,,
使人沮丧地,,,
不能翻转,,,
掠夺成性,,,
悬浮,,,
救济,,,
不相容,,,
决断,,,
凶猛地,,,
受伤,,,
贸易禁运,,,
不再参与,,,
巧妙地处理,,,
专横,,,
苛刻,,,
使震动,,,
担任纠察,,,
无法维持,,,
可笑人或事,,,
疲惫焦虑,,,
破产,,,
退税,,,
消遣,,,
不能收回款项,,,
轻蔑,,,
内容提要,,,
可怜,,,
装货于,,,
进行诈骗,,,
坏名声,,,
冷待,,,
无用,,,
淫秽,,,
不容怀疑,,,
据称,,,
无缘无故地,,,
碰运气,,,
作证,,,
婉谢,,,
错误定性,,,
不及格,,,
黯然失色,,,
杓,,,
不等,,,
淫荡,,,
使无罪,,,
先发制人,,,
慢慢地,,,
巧妙处理,,,
故障停机时间,,,
瘸,,,
开火,,,
下降,,,
弱势团体,,,
无正式文件,,,
罚金,,,
冷淡,,,
遭破坏,,,
中心实体,,,
人工时效过度,,,
偿还,,,
揶揄,,,
丑陋,,,
临界点,,,
劝诫,,,
不复存在,,,
使逐步上升,,,
情绪激昂,,,
不能接受,,,
消失,,,
无益,,,
恶名昭彰,,,
使免罪,,,
过重负担,,,
受到挑衅,,,
无罪开释,,,
没有用,,,
全然,,,
怀疑地,,,
次要方面,,,
意图,,,
判断错误,,,
重新谈判,,,
衰落,,,
误差,,,
陡然地,,,
过分强调,,,
发展滞后,,,
难以获得,,,
报复,,,
泄气,,,
骚扰,,,
越轨,,,
有关破产,,,
腐败地,,,
向下,,,
意见不同,,,
激烈,,,
表达否认,,,
移交,,,
拖,,,
震撼,,,
不均衡,,,
滞止,,,
使降级,,,
延迟器,,,
严厉斥责,,,
处置,,,
迫近,,,
不熟练,,,
用手控制,,,
唐突,,,
分娩,,,
未覆盖,,,
过度产生,,,
意见不同,,,
损坏了,,,
少说,,,
逐步扩大,,,
使堕落,,,
明显地,,,
旷,,,
变得病弱,,,
腐败,,,
削减,,,
无反应,,,
令人为难,,,
免于伤害,,,
不得体,,,
赔偿金,,,
引起争论,,,
资金不足,,,
退市,,,
斜面,,,
冲销,,,
被判死刑,,,
有弱点,,,
遏制,,,
剥削,,,
批判,,,
强制力,,,
被毁,,,
坚持不懈,,,
说服,,,
紧迫,,,
可耻,,,
滞销,,,
使听从,,,
指控,,,
未兑,,,
生产供不应求,,,
货币伪造者,,,
幽禁,,,
不义地,,,
专利者,,,
专卖,,,
缩短,,,
错失,,,
不成比例地,,,
妨害,,,
征收,,,
烈性泻药,,,
控诉,,,
暴力,,,
拒签,,,
价格暴跌,,,
扭曲,,,
出价过高,,,
设备停开期,,,
细阅,,,
对立物,,,
不利,,,
固执,,,
难以推却,,,
反对派,,,
未占领,,,
装载过多,,,
不能变更,,,
畸变,,,
不承认,,,
不必要地,,,
被骗了,,,
弄空,,,
厌恶,,,
负面事物,,,
制止,,,
使承受,,,
渐渐渗入,,,
欺骗,,,
建造过多,,,
未履行,,,
非理智,,,
不充分陈述,,,
监禁,,,
受苦,,,
使变质,,,
不履行义务,,,
使精细,,,
竞赛,,,
虐待,,,
斗争,,,
船桥,,,
赝品,,,
阴沉,,,
流入大海,,,
前后矛盾,,,
不同意,,,
用词错误,,,
标准以下,,,
挤出,,,
鼓动,,,
解约,,,
不值钱,,,
处理,,,
使失效,,,
除酵母泥渣,,,
毁坏,,,
故障,,,
重新估价,,,
受控制帧,,,
过时,,,
令人惊愕,,,
再分配,,,
臣服,,,
钝化,,,
死路,,,
副作用,,,
使丢脸,,,
转让部分投资,,,
瞄错方向,,,
回收,,,
承认,,,
难获得,,,
不能持续,,,
不能废除,,,
侵蚀底基,,,
被迫放弃,,,
下滑,,,
落后于,,,
未建立,,,
违例佯投动作,,,
不情愿,,,
劝告,,,
更坏,,,
违犯,,,
压,,,
削弱,,,
不完全,,,
淫秽,,,
延误,,,
新股弱势,,,
搀加,,,
出清存货,,,
对抗,,,
终结,,,
断,,,
失踪,,,
堕落,,,
深思熟虑,,,
不能利用,,,
不成功,,,
无经验,,,
重读,,,
恼人,,,
魄力,,,
出轨,,,
不可恢复地,,,
拒绝,,,
受到妨碍状态,,,
不周到,,,
报废,,,
禁赛,,,
使滚下,,,
恳求,,,
非置信,,,
陈述;,,,
加压力于,,,
已故,,,
祈免,,,
使降职,,,
丑化,,,
超载量,,,
委屈,,,
恶化,,,
巴登巴登,,,
无所事事,,,
参数,,,
有保留陈述,,,
肮脏,,,
不能确定,,,
使疼痛,,,
欺诈,,,
不足数额,,,
反复出现,,,
磁阻,,,
不可靠,,,
白费,,,
不妥地,,,
未预料到,,,
过多供应,,,
寄托错,,,
不能得到,,,
关爱,,,
罐头猪肉,,,
故意为难,,,
鲁莽,,,
电力系统超负荷,,,
未经承认,,,
不小心,,,
被没收,,,
有争论,,,
低估,,,
品位降低,,,
出差错,,,
犹豫,,,
有裂纹,,,
贴错标签,,,
审问,,,
不希望有,,,
人工催熟,,,
不愿意,,,
怠忽,,,
证明有罪,,,
不正当地,,,
不负责任,,,
未击中,,,
过度充电,,,
规避,,,
非生产性,,,
缺少,,,
相差,,,
短暂风暴,,,
使减少,,,
误导地,,,
断绝,,,
扫兴,,,
萎陷,,,
怀柔,,,
打断,,,
使卷入,,,
分离,,,
更恶劣地,,,
高利,,,
像差,,,
无力偿还债务,,,
有疑问,,,
损害赔偿,,,
无竞争力,,,
侵入,,,
停止,,,
恐惧,,,
作废,,,
不能卖,,,
贫化,,,
使迷路,,,
发作,,,
不得志,,,
跛,,,
违法,,,
无私,,,
填充料,,,
保持秘密,,,
揭发,,,
使配错,,,
危险,,,
揭露,,,
禁止或限制贸易,,,
交出,,,
取消抵押品赎回权,,,
疏于照管,,,
有罪,,,
量刑,,,
理应获得,,,
否决权,,,
无保证,,,
分解,,,
追缴,,,
有罪,,,
免责声明,,,
罚款,,,
使合理化,,,
提醒,,,
激烈地,,,
侵蚀,,,
惊人,,,
对生产无直接关系,,,
兜售信息,,,
令人扫兴,,,
禁止,,,
意外,,,
临界,,,
阻止活动,,,
使偏离,,,
已辞职,,,
市况呆滞,,,
排斥,,,
超额建房,,,
拐弯抹角,,,
奢侈,,,
多疑,,,
畸变,,,
不情愿,,,
靠不住,,,
杀死,,,
糊涂,,,
不自然,,,
难捕捉之物,,,
坦白,,,
废弃,,,
使过度劳累,,,
强奸,,,
灾祸,,,
不相称,,,
扰乱,,,
未偿还,,,
雕过,,,
古怪人,,,
未修正,,,
妨碍拥有,,,
蓄意,,,
贪婪地吃喝,,,
废弃,,,
撤换,,,
违反规则,,,
保释人,,,
使沉溺于,,,
抵御,,,
重新获得,,,
不确定,,,
使为难,,,
误用,,,
侵袭,,,
失常,,,
消失了,,,
与众不同,,,
压力,,,
不正当,,,
不肯定,,,
撤回,,,
提供错误消息,,,
不用,,,
地形突变,,,
烧焦,,,
物体,,,
小看,,,
贬抑,,,
不节俭,,,
垮掉,,,
反对意见,,,
坚决表示,,,
空闲,,,
纠缠,,,
弥漫地,,,
检修好存置备用,,,
细骨料,,,
粗心大意,,,
诡计,,,
自卫,,,
公然地,,,
离婚男子,,,
囚犯,,,
刑罚,,,
使烦恼,,,
粗心,,,
缺乏能力,,,
犯罪,,,
无能力,,,
强制,,,
删节,,,
书面收据,,,
留下,,,
科目,,,
醉了,,,
清除,,,
恶行,,,
使产生错误想法,,,
打翻,,,
迷乱,,,
有道理,,,
感染,,,
大灾难,,,
智取,,,
密谋策划,,,
干扰,,,
使伤残,,,
令人不安,,,
逃亡者,,,
分离,,,
荒废,,,
麻烦,,,
不经济地,,,
逃脱,,,
恣意破坏他人财产行为,,,
危急,,,
狂热,,,
使曝光,,,
恼怒,,,
拒收,,,
无法收集,,,
渐渐破坏,,,
训练,,,
犯罪,,,
监禁,,,
切换画面,,,
昂贵,,,
掺入杂质,,,
失效,,,
任性固执地,,,
非决定性,,,
失业,,,
贫乏,,,
败坏,,,
被排除,,,
夸大其词,,,
取舍权,,,
慎重地,,,
非主要特性,,,
改正,,,
使疏远,,,
导致失败,,,
最坏,,,
荒废,,,
持异议者,,,
未售出,,,
感到有压力,,,
陡峭,,,
死者,,,
不足之处,,,
破灭,,,
昧着良心,,,
适时地,,,
不能胜任,,,
妨碍物,,,
使重新集中注意力,,,
不协调,,,
债权,,,
挑衅,,,
不可预知性,,,
不充分,,,
终止,,,
绝灭,,,
处于不利地位,,,
经过编辑,,,
夺取,,,
死锁,,,
失望,,,
介入,,,
不合格,,,
边界,,,
无被选资格,,,
机能不全,,,
碰撞,,,
可起诉,,,
标低价,,,
放射性尘降,,,
使破产,,,
无力地,,,
诉讼,,,
故意破坏他人财物罪,,,
精神失常,,,
被误解地,,,
冤情,,,
撤销,,,
无意中做,,,
关闭,,,
展览,,,
缓办,,,
坏事,,,
清理,,,
编辑,,,
待定,,,
商品过剩,,,
冷淡地对待,,,
不可剥夺,,,
脆弱点,,,
不能用,,,
不胜任地,,,
漏做,,,
体力不支,,,
估计过高,,,
判断错,,,
使迷惑,,,
偿付能力,,,
追逐,,,
不准,,,
拮据,,,
沉淀,,,
宣布作废,,,
不道德地,,,
延期,,,
意外地,,,
无条件,,,
未被利用,,,
召回,,,
不计较,,,
未通知,,,
盖销,,,
焦虑,,,
卑劣地,,,
暂时丢失,,,
诱发,,,
计算机罪犯,,,
毁掉,,,
发出警告,,,
被拆毁,,,
卧床分娩,,,
破烂不堪,,,
使超载,,,
俯瞰,,,
使潮湿,,,
商议,,,
阻碍剂,,,
灭活,,,
不适任,,,
监督,,,
重罪,,,
否定地,,,
不顺从,,,
在野党,,,
保释,,,
辱骂,,,
歪曲报道,,,
陷入经济困难,,,
紧急,,,
点球,,,
折叠,,,
粉末,,,
召集会议,,,
撕咬,,,
不能立即付现,,,
乱涂,,,
被剥夺,,,
疑有,,,
打扰,,,
骨折,,,
退让,,,
使不相宜,,,
恶习,,,
苛求,,,
溶解,,,
决定性时刻,,,
有修改,,,
令人讨厌,,,
桥,,,
可疑地,,,
敌方,,,
重述,,,
监视,,,
置换,,,
不满足,,,
谎言,,,
不正常,,,
踏错,,,
无偿地,,,
发球失误,,,
犯规,,,
加上外套,,,
从下部切开,,,
界线,,,
折磨,,,
无资格,,,
不可行,,,
众所周知,,,
令人失望地,,,
无信用,,,
被取消资格,,,
使不安,,,
无能力地,,,
焊端,,,
委托,,,
亵渎,,,
感官难受,,,
突然地,,,
结尾,,,
起诉,,,
竭力,,,
失业期,,,
死亡,,,
防护套,,,
网络犯罪,,,
不服从,,,
阴谋集团,,,
中伤,,,
腐蚀,,,
液化,,,
伤害话,,,
不可预知,,,
产权负担,,,
归咎,,,
失活,,,
打击沉重,,,
辱骂,,,
反常,,,
畸形,,,
过分地,,,
重新委派,,,
牵强附会,,,
缩小尺寸,,,
误述,,,
枯燥乏味,,,
无事实证明,,,
讨厌,,,
使不胜任,,,
超出限度,,,
过度运转,,,
转让,,,
使不能正常活动,,,
估计过高,,,
出乎意料地,,,
下流,,,
失调,,,
争辩,,,
超过额定界限,,,
弄坏,,,
预防,,,
受虐,,,
加负担于,,,
贪污,,,
反对地,,,
作罢,,,
未经当局许可,,,
损害,,,
艰难,,,
到处渗透,,,
掺假,,,
使脱去,,,
无效地,,,
过失,,,
作详细检查,,,
较慢,,,
猥亵,,,
分散,,,
对抗措施,,,
无功能,,,
临时记号,,,
设障碍,,,
减弱,,,
论证,,,
忙,,,
辩护不了,,,
宿命,,,
废料,,,
批评,,,
堵塞,,,
日益恶化,,,
平白地,,,
过早地,,,
懊恼,,,
记起,,,
底片,,,
障碍,,,
疏于照顾,,,
不纯,,,
对国教不遵循,,,
生病,,,
迟缓,,,
瓶颈,,,
取复,,,
庄重,,,
平反,,,
累赘,,,
以较小尺寸设计,,,
错误定价,,,
禁戒,,,
遗赠,,,
垃圾邮件制作者,,,
辩护,,,
提起反诉,,,
赦免,,,
关注者,,,
不参加,,,
唐突,,,
不夸张,,,
谎报,,,
弄乱,,,
怀敌意,,,
禁止或限制,,,
不够好,,,
继续存留,,,
有限制,,,
报应,,,
敲诈者,,,
不自然地,,,
合理地思考,,,
不受控制,,,
不够好地,,,
更差,,,
摧毁,,,
不能上市出售,,,
未收款,,,
同谋者,,,
失业,,,
未受医治,,,
逃避,,,
估计错误,,,
使有缺陷,,,
负担过重,,,
引以为戒,,,
酷似,,,
卑微,,,
蹒跚,,,
使萧条,,,
食篮,,,
失望,,,
贬值,,,
未被重视,,,
功能紊乱,,,
按,,,
事先审理,,,
严肃地,,,
变得死气沉沉,,,
非法行为,,,
瑕疵,,,
不公开,,,
休止状态,,,
贫穷地,,,
发信号,,,
逃亡,,,
网络罪犯,,,
使人尴尬,,,
唤出,,,
未付,,,
阻塞,,,
保释金,,,
不希望得到,,,
拆除,,,
浪费,,,
指责,,,
多载集合,,,
延伸,,,
异常现象,,,
退位,,,
刑法上,,,
疆界,,,
骗术,,,
未经批准,,,
重建,,,
回忆,,,
不出版,,,
使陷危地,,,
不名誉地,,,
最弱,,,
恐怕,,,
破产,,,
未被证明其正确,,,
夸张手法,,,
不合理,,,
裂缝,,,
析光差,,,
使关心,,,
资本不足,,,
顶触,,,
堕落,,,
易得病人,,,
使不再有利害关系,,,
摘牌,,,
发展滞后,,,
独占,,,
割成,,,
造成损害原因,,,
困难地,,,
不足,,,
爱争论,,,
失去产业,,,
修正法,,,
最近,,,
鲁莽,,,
灾难,,,
抨击,,,
惩罚,,,
暂时丢失,,,
徒劳,,,
匮乏,,,
打搅,,,
不诚实,,,
滤网,,,
使恶化,,,
缩小规模,,,
使遭到危险,,,
取消,,,
询问,,,
征用或扣押,,,
尴尬,,,
有过失,,,
配错,,,
累赘,,,
不能维持,,,
危急地,,,
通奸,,,
无价值,,,
不尊重,,,
检查,,,
拒绝接受,,,
降解,,,
收缩,,,
光行差,,,
失灵,,,
财产留置权,,,
使载重,,,
不理睬,,,
不可弥补地,,,
宾语,,,
负担过重,,,
机会主义地,,,
爱说谎,,,
点火,,,
有罪地,,,
无基金退休金计划,,,
不顾一切地,,,
急缓度,,,
露出,,,
事先未安排,,,
无理地,,,
缺乏,,,
密谋,,,
不正直地,,,
宣称,,,
损坏,,,
代价高,,,
无节制,,,
难处理,,,
伤害地,,,
反面,,,
使失望,,,
违法地,,,
拒付证书,,,
惨案,,,
拒绝跳跃,,,
决定性,,,
不和,,,
驱动器出错次数,,,
警惕,,,
毁灭,,,
不正常工作,,,
岩层中之小断层,,,
终止,,,
强调,,,
干旱,,,
新股偏弱现象,,,
抵触,,,
否定,,,
必要但又碍事船具,,,
抵制,,,
轻描淡写,,,
使变弱,,,
无覆盖,,,
普遍地,,,
失意,,,
依其申述,,,
剪短,,,
赤字,,,
困苦,,,
审判,,,
最坏时候,,,
晚,,,
停赛,,,
很难,,,
大跌,,,
缩量,,,
淡,,,
下降,,,
下跌,,,
跌,,,
卖出,,,
亏损,,,
下滑,,,
降低,,,
卖,,,
跌幅,,,
跑,,,
大跌,,,
下行,,,
最低,,,
回落,,,
负债,,,
底部,,,
冲击,,,
跌停,,,
差,,,
减仓,,,
清仓,,,
暴跌,,,
减值,,,
亏,,,
需谨慎,,,
下调,,,
担心,,,
退市,,,
韭菜,,,
通胀,,,
止损,,,
缺口,,,
踩,,,
不良贷款,,,
取消,,,
低点,,,
割肉,,,
死,,,
高估,,,
熊市,,,
恐慌,,,
破产,,,
违法,,,
低迷,,,
套,,,
向下,,,
怕,,,
错,,,
傻,,,
违约,,,
停牌,,,
抛,,,
逾期,,,
杀跌,,,
新低,,,
收窄,,,
被套,,,
卖掉,,,
亏了,,,
打击,,,
跳水,,,
拖累,,,
腰斩,,,
异动,,,
跌到,,,
偏低,,,
过度,,,
异常,,,
打压,,,
涉嫌,,,
看空,,,
淘汰,,,
不利,,,
离场,,,
负面,,,
造假,,,
困境,,,
坑,,,
出局,,,
止盈,,,
不涨,,,
恶化,,,
做空,,,
萎缩,,,
过剩,,,
减弱,,,
负增长,,,
